comment,label
uda stabil capek uda bayar server parah uda ganti signal wifi paket data hasil zonk,negatif
mending nonton youtube nnton mahal film kali film video mending netflix film parah video,negatif
drama jepang jngn korea mulu live action,negatif
g kode,negatif
cung pasukan udah hp gk support sedih aing mah hp jadul send kirim laporan udahhh no respon,negatif
enak enak bayar pake pulsaeh alih gogle paygak,negatif
ngelag ya tolong udah parah beda versi ak,negatif
iklan bikin orang emosi iklan,negatif
udah bagus nga ribet cuman kalo nonton live layar mohon krena,positif
overall udah bagus nonton tab ukuran text susah baca fokus kebagi nonton baca gk serasa rugi up premium smoga pilihan ukuran text,positif
baguuus,positif
oke,positif
howam iklan mulu bikin kesel,negatif
bagus,positif
udah beli paket nonton lemot vidio ngak viw,negatif
serakah orang nonton aja udah dpet monet tp bayar nonton doang udah paket habis nonton suruh bayar kali klo gratis mampir loh wkwkwk dah skip,negatif
udah ambil premier gak alasan negara gak menjual premier negara,negatif
udh ga pake apk udh kemarin tibaÂ² saldo pa liat tib premium plss kak uang jajan sekolah tolong dana ngga kak udh ga pake apk rugi bayar ga pakai plss tolong etikad segrra dana ya kak makasi,negatif
layanan potong saldo,negatif
x beli paket gagal saldo paket ga,negatif
sesi drm app udh byar beres beres aja nggak diberes beresin ribet,negatif
premium error mulu,negatif
apk ny udah bagus krn film d sni tp kecewa krn bayar film ny blm lag klw nonton online iklan,negatif
nice,positif
update jgn tidk apk refund c robot google email refund cek vidio menolak saldo refund email c kalimat nihil hasilny baiklah anggap uang makan siang bos korup sekian kecewa,negatif
ni apk iklan dikit iklan tolong udh boros kouta berat tolong,negatif
knp sih udah beli paket tp login muncul screen paket ganggu banget kalo blm paket ok udah login aja home page edit install ulang,negatif
buaat nonton kaloo gabutt,positif
mantap,positif
posisi donwlod nonton lemot trus cancel downlod an pilihan cancel downlod an,negatif
keluhan cepat respon vidio,negatif
tdk ngk apk,negatif
pa buka nonton piala dunia mlah error lancar gimana uang error mulu,negatif
beli premium video diputar pdhal unduh video menerus,negatif
sory gw hapus paket premium pake pulsa gabisa harga paket pake pulsa bayar,negatif
suka ngelag pdhal udh kecewa sih,negatif
fitur replay siaran channel error ya kadang gk mohon,negatif
maaf ga b bri gr wifi tuh uda lncar aj tp kalo nonton load capek nunggu tlg dev gmn nih gini aj gmn nii dikomen byk blg gni loh,negatif
bagus pakai suka,positif
sungguh buruk nonton tv susah karna remot bintang pa update terbaru tks,negatif
gua kasi bintang bikin kecewa iklan iklan tdk skil kayak yutube skip iklan detik tdk bagus pakai wifi loading gg menit ketiga ku bagus banget keempat bilang coba pa coba keriset susah cari film nonton i deh,negatif
nonton disuruh beli pakey layar,negatif
liat aja saitama ya ganti episode banget,positif
fitur berguna jadwal sepak bola tau play store saldo hilang,negatif
yahhhhh bagussi,positif
hallooo vidio udah vnl jgn yaaa udah beli paket msh ngelek,negatif
apknya gratis titik,negatif
gimana sih daftar paket tuh ngga trus lihat tutor youtube tpi beda youtube pilihan paket cuman aja udh beli paket paket play store gimana klau,negatf
lihat tv belom selesai iklan muncul kadang gak kayak,negatif
banget iklan nonton kalo kn ya hilang video nonton male mending nonton youtube,negatif
bagus nonton ftv jaman versi terbaru gak atur boros kuota tolong atur video,negatif
video tv nonton bola kali parah,negatif
saldo waya tbtb ingatan tenggat,positif
giliran persib nggak siarkan,negatif
blm suka mmg blm tau film bagus sgt pkknya nggak nyesal skrg byk nggak ribet,negatif
bnyak iklan udah gitu mu nonton proliga beli paket,negatif
paket diamon harga ppn jd xxx tp pa jd xxx sumpah nyesel,negatif
sesuai merubah,negatif
tombol manual parah,negatif
ndak ngelag ampun dibeli pakai preview gajelas ku pakai,negatif
sukses,positif
nga puas ngelag kouta ngelag tolong,negatif
keren series,positif
apk nge leg mulu bangst,negatif
nonton liga udah beli paket,negatif
update jelek iklan pindah canel iklan kalo nonton ulang pa loncat menit iklan jelek bngt pokonya bagus iklan kalo gini nonton iklan aja akn instal mending fikir,negatif
bayar nonton aja,positif
nonton tv doang bayar hadeuh pake aja gk bayar pake duit jga,positif
nyoba dlu,positif
ok,positif
akun ku blum pdhl udh beli,negatif
monyet gua udah beli via apk pa masuk akun video pulsa,negatif
parah pulsa udah gx aktip,negatif
reedem voucher shopee gmn,negatif
simpel puas warna suara ok pokok best apk,positif
ok,positif
bagus,positif
saldo pulsa ribu tetep ngga,negatif
siaran eh siaran olah rsga s cakar cakar kaya kucing eh acak acak,negatif
